"date","price"
"2021-12-20","15000.00"
"2021-12-28","16000.00"
"2021-12-29","16000.00"
"2021-12-30","16000.00"
"2021-12-31","14000.00"
"2022-01-01","14000.00"
"2022-01-02","14000.00"
"2022-01-03","14000.00"
"2022-01-04","14000.00"
"2022-01-05","14000.00"
"2022-01-06","14000.00"
"2022-01-07","14000.00"
"2022-01-08","14000.00"
"2022-01-09","14000.00"
"2022-01-11","14000.00"
"2022-01-12","15000.00"
"2022-01-13","15000.00"
"2022-01-14","14000.00"
"2022-01-15","14000.00"
"2022-01-16","14000.00"
"2022-01-17","14000.00"
"2022-01-18","14000.00"
"2022-01-19","14000.00"
"2022-01-20","13000.00"
"2022-01-21","13000.00"
"2022-01-22","13000.00"
"2022-01-23","13000.00"
"2022-01-24","13000.00"
"2022-01-25","15000.00"
"2022-01-26","15000.00"
"2022-01-27","15000.00"
"2022-01-28","17000.00"
"2022-01-29","17000.00"
"2022-01-30","17000.00"
"2022-01-31","19000.00"
"2022-02-01","20000.00"
"2022-02-02","20000.00"
"2022-02-03","20000.00"
"2022-02-04","22000.00"
"2022-02-05","22000.00"
"2022-02-07","22000.00"
"2022-02-08","23000.00"
"2022-02-09","23000.00"
"2022-02-10","25000.00"
"2022-02-11","25000.00"
"2022-02-14","25000.00"
"2022-02-15","23000.00"
"2022-02-16","23000.00"
"2022-02-17","22000.00"
"2022-02-18","22000.00"
"2022-02-19","22000.00"
"2022-02-20","21000.00"
"2022-02-21","22000.00"
"2022-02-22","22000.00"
"2022-02-23","23000.00"
"2022-02-24","25000.00"
"2022-02-25","25000.00"
"2022-02-26","25000.00"
"2022-02-27","25000.00"
"2022-02-28","24000.00"
"2022-03-01","24000.00"
"2022-03-02","24000.00"
"2022-03-03","24000.00"
"2022-03-04","23000.00"
"2022-03-05","22000.00"
"2022-03-06","22000.00"
"2022-03-07","22000.00"
"2022-03-08","21000.00"
"2022-03-09","20000.00"
"2022-03-10","20000.00"
"2022-03-11","18000.00"
"2022-03-12","17000.00"
"2022-03-13","17000.00"
"2022-03-15","17000.00"
"2022-03-16","17000.00"
"2022-03-17","18000.00"
"2022-03-18","18000.00"
"2022-03-19","18000.00"
"2022-03-20","18000.00"
"2022-03-21","18000.00"
"2022-03-22","18000.00"
"2022-03-23","18000.00"
"2022-03-24","18000.00"
"2022-03-25","17000.00"
"2022-03-26","16000.00"
"2022-03-27","15000.00"
"2022-03-28","16000.00"
"2022-03-29","16000.00"
"2022-03-30","18000.00"
